NCM;Exp_jan;Imp_jan;Net_jan;Exp_fev;Imp_fev;Net_fev;Exp_mar;Imp_mar;Net_mar;Exp_abr;Imp_abr;Net_abr;Exp_mai;Imp_mai;Net_mai;Exp_jun;Imp_jun;Net_jun;Exp_jul;Imp_jul;Net_jul;Exp_ago;Imp_ago;Net_ago;Exp_set;Imp_set;Net_set;Exp_out;Imp_out;Net_out;Exp_nov;Imp_nov;Net_nov;Exp_dez;Imp_dez;Net_dez;Exp_total;Imp_total;Net_total
63071000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18352;-18352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18352;-18352
84119900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989759;-989759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989759;-989759
90303390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;994;-994;0;1171;-1171;0;0;0;0;0;0;0;0;0;0;0;0;0;2165;-2165
84841000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527;-527;0;0;0;0;0;0;0;0;0;0;0;0;0;20;-20;0;547;-547
15079011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26133;-26133;0;82302;-82302;0;108435;-108435
94053000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789;-1789;0;4642;-4642;0;0;0;0;6431;-6431
70133700;0;9324;-9324;0;0;0;0;20248;-20248;0;0;0;0;0;0;0;0;0;0;9324;-9324;0;0;0;0;0;0;0;0;0;0;10990;-10990;0;0;0;0;49886;-49886
85111000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1529;-1529;0;0;0;0;0;0;0;0;0;0;13197;-13197;0;0;0;0;14726;-14726
90229080;0;0;0;0;0;0;0;0;0;0;0;0;0;13656;-13656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291162;-291162;0;0;0;0;304818;-304818
82079000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17899;-17899;0;0;0;0;0;0;0;0;0;0;2004;-2004;0;0;0;0;0;0;0;19903;-19903
27131100;0;1088251;-1088251;0;0;0;0;0;0;0;140276;-140276;0;1132450;-1132450;0;689224;-689224;0;0;0;0;0;0;0;0;0;0;0;0;0;806805;-806805;0;154936;-154936;0;4011942;-4011942
48054010;0;57455;-57455;0;0;0;0;0;0;0;0;0;0;0;0;0;56100;-56100;0;0;0;0;0;0;0;0;0;0;60636;-60636;0;0;0;0;0;0;0;174191;-174191
84149031;0;0;0;0;0;0;0;0;0;0;0;0;0;86;-86;0;0;0;0;0;0;0;110;-110;0;0;0;0;0;0;0;0;0;0;0;0;0;196;-196
85059090;0;0;0;0;0;0;0;0;0;0;0;0;0;496;-496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496;-496
84283990;0;0;0;0;0;0;0;0;0;0;100177;-100177;0;1606751;-1606751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1706928;-1706928
82152000;0;28038;-28038;0;0;0;0;0;0;0;0;0;0;12149;-12149;0;0;0;0;0;0;0;0;0;0;0;0;0;27216;-27216;0;0;0;0;0;0;0;67403;-67403
69072100;0;0;0;0;50392;-50392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50392;-50392
84832000;0;0;0;0;825;-825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308;-308;0;0;0;0;0;0;0;0;0;0;1133;-1133
90322000;0;0;0;0;788;-788;0;0;0;0;719;-719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2039;-2039;0;0;0;0;3546;-3546
85359000;0;0;0;0;363;-363;0;1188;-1188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1551;-1551
73158900;0;352;-352;0;0;0;0;3254;-3254;0;0;0;0;0;0;0;0;0;0;0;0;0;2143;-2143;0;0;0;0;0;0;0;0;0;0;0;0;0;5749;-5749
85392910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9299;-9299;0;9299;-9299
3055310;0;0;0;0;252386;-252386;0;88501;-88501;0;89069;-89069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429956;-429956
84313110;0;4651;-4651;0;0;0;0;0;0;0;208906;-208906;0;0;0;0;0;0;0;0;0;0;27454;-27454;0;0;0;0;0;0;0;0;0;0;0;0;0;241011;-241011
84136011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2777;-2777;0;0;0;0;0;0;0;0;0;0;1791;-1791;0;0;0;0;0;0;0;4568;-4568
39042200;0;49081;-49081;0;0;0;0;28002;-28002;0;0;0;0;0;0;0;33811;-33811;0;33564;-33564;0;99454;-99454;0;0;0;0;0;0;0;0;0;0;0;0;0;243912;-243912
44219900;0;0;0;0;3310;-3310;0;0;0;0;0;0;0;0;0;0;0;0;0;899;-899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4209;-4209
94055000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1362;-1362;0;0;0;0;1362;-1362
84148011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2493;-2493;0;0;0;0;0;0;0;2493;-2493
90308990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1426;-1426;0;0;0;0;186;-186;0;0;0;0;0;0;0;1612;-1612
84833029;0;0;0;0;683;-683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45253;-45253;0;0;0;0;0;0;0;45936;-45936
85366990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;0;4771;-4771;0;0;0;0;1289;-1289;0;6061;-6061
84836090;0;100;-100;0;0;0;0;200;-200;0;0;0;0;0;0;0;2816;-2816;0;1156;-1156;0;0;0;0;4382;-4382;0;83;-83;0;0;0;0;0;0;0;8737;-8737
39139020;0;14258;-14258;0;0;0;0;0;0;0;0;0;0;32708;-32708;0;0;0;0;0;0;0;0;0;0;0;0;0;45572;-45572;0;12808;-12808;0;0;0;0;105346;-105346
84314100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;528;-528;0;0;0;0;0;0;0;21252;-21252;0;0;0;0;0;0;0;0;0;0;21780;-21780
3055100;0;0;0;0;69998;-69998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69998;-69998
90213190;0;44247;-44247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44247;-44247
84099111;0;0;0;0;0;0;0;12837;-12837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2413;-2413;0;0;0;0;10859;-10859;0;0;0;0;26109;-26109
85013110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3546;-3546;0;0;0;0;0;0;0;192;-192;0;1280;-1280;0;0;0;0;3660;-3660;0;8678;-8678
90181210;0;0;0;0;0;0;0;399291;-399291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399291;-399291
84389000;0;4543;-4543;0;0;0;0;0;0;0;1178;-1178;0;0;0;0;0;0;0;0;0;0;1849;-1849;0;0;0;0;0;0;0;0;0;0;0;0;0;7570;-7570
84431910;0;0;0;0;0;0;0;0;0;0;4183;-4183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4183;-4183
84629119;0;150530;-150530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150530;-150530
73079200;0;1410;-1410;0;2864;-2864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2469;-2469;0;0;0;0;6743;-6743
85472090;0;58;-58;0;0;0;0;0;0;0;66;-66;0;113;-113;147;0;147;0;0;0;0;0;0;0;0;0;0;180;-180;0;1063;-1063;1204;0;1204;1351;1480;-129
78060090;0;0;0;0;0;0;0;48;-48;0;0;0;0;49;-49;0;0;0;0;0;0;0;7;-7;0;0;0;0;0;0;0;0;0;0;2;-2;0;106;-106
84798912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;860;-860;0;817;-817;0;757;-757;0;0;0;0;2434;-2434
94016900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12996;-12996;0;0;0;0;12996;-12996
85414022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;-86;0;0;0;0;923;-923;0;226;-226;0;0;0;0;1235;-1235
56029000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;-24;0;0;0;0;587;-587;0;0;0;0;0;0;0;611;-611
29039130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25797;-25797;0;23842;-23842;0;0;0;0;0;0;0;0;0;0;17353;-17353;0;66992;-66992
85235110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7020;-7020;0;0;0;0;7020;-7020
94035000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4136;-4136;0;0;0;0;4136;-4136
72162100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;-211;0;0;0;0;211;-211
90314990;0;0;0;0;0;0;0;0;0;0;0;0;0;2397464;-2397464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2397464;-2397464
70134900;0;0;0;0;0;0;0;4241;-4241;0;0;0;0;18987;-18987;0;0;0;0;0;0;0;0;0;0;25596;-25596;0;0;0;0;0;0;0;0;0;0;48824;-48824
69139000;0;0;0;0;0;0;0;0;0;0;0;0;0;1370;-1370;0;4001;-4001;0;0;0;0;0;0;0;0;0;0;0;0;0;1543;-1543;0;0;0;0;6914;-6914
48114110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;-172;0;0;0;0;0;0;0;172;-172
34021290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70189;-70189;0;0;0;0;0;0;0;0;0;0;70189;-70189
94032000;0;0;0;0;26291;-26291;0;7159;-7159;0;0;0;0;0;0;10;0;10;0;7248;-7248;12;2386;-2374;0;4879;-4879;0;7004;-7004;0;0;0;15;0;15;37;54967;-54930
30021520;0;12265;-12265;0;30230;-30230;0;24120;-24120;0;0;0;0;24120;-24120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90735;-90735
66019900;0;0;0;0;0;0;0;21656;-21656;0;8099;-8099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29755;-29755
84159090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;-332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;-332
48232010;0;11124;-11124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4289;-4289;0;0;0;0;0;0;0;0;0;0;15413;-15413
68159990;0;0;0;0;2692;-2692;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2694;-2694
85176259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;-110;0;0;0;0;0;0;0;0;0;0;7560;-7560;0;0;0;0;0;0;0;7670;-7670
85412920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18456;-18456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11322;-11322;0;29778;-29778
68138110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;-311;0;18320;-18320;0;0;0;0;0;0;0;0;0;0;0;0;0;18631;-18631
84099190;0;9149;-9149;0;14;-14;0;2508;-2508;0;0;0;0;0;0;0;0;0;0;15;-15;0;0;0;0;0;0;0;0;0;0;12254;-12254;0;0;0;0;23940;-23940
39209990;0;1668;-1668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080;-1080;0;0;0;0;0;0;0;1668;-1668;0;0;0;0;0;0;0;4416;-4416
94039090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;588;-588;0;0;0;0;588;-588
29161519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5255;-5255;0;0;0;0;5255;-5255
